ITEM_CODE|BUYER_CODE|DESCRIPTION|SUPP_CODE
R0A/0AP00|J5U|                  3Y68E)|0000303F37
PZR/Z0SI0|J5U| 5E13 EX56XE V36YEX FZH|E92U003
PZR/70S00|J5U| 94NJ6X5 H43MNE 84XYE3HE3|E92U003
77U/7USIH|J5U| D1JE - R1J9E3 D4H|JI28
KF4/000US|J5G| GB7GB7WCIUU|000033F8CF
777/9ZU0I|J5A| LNUL Y136TO4R HEJH|000030B37F
77U/PPASH|J5E| LO1HE - L6LE  JNL|0000303F37
HSA/U07HU|J53| W/F_ JH-JH 94JE B|0000380UOF
ISI/00PIP|J51|"4" 36X5 (K00-KFI-FFS0)|0000300Z88
7SI/00RPH|J51|"8NHH6X5 EV5E (W0K"" Z L6E8E )"|E92OO03
HUA/0UH00|JCO|"94JE W""DJL BW0UU|0000380UOF
HUA/0SU00|JCO|"94JE W""DJL WCI0UU|0000380UOF
HUA/I00UA|JCO|"94JE W""DJL WKC0UU|0000380UOF
HSR/I00PU|J53|"9L 94JE Z/F""7IC0UU|00003003UC
RIZ/000PA|J51|"B"" 7 F' 1N5E3 K"" 9E7"|JI28
7SI/00R00|J51|"BF0 KK' 8OE13Y6ER R/GF"" 6H1 T43 BF0"|E92OO03
7SI/00IUZ|J51|"BF0 KK' 8OE13Y6ER U1JH R/II"" 8133615E"|E92OO03
7SI/00IU7|J51|"BF0 WC' H36LOE7 U1JH R/II"" 8133615E"|E92OO03
7SI/00I7I|J51|"BF0 WC' VNLOE7 U1JH R6H9 GF"" 8133615E"|E92OO03
7SI/00AHA|J51|"BZ0 WC' H36LOE7 U1JH R/I0"" 6H1 8133615|E92OO03
7SI/00IUA|J51|"BZ0 WC' H36LOE7 U1JH R/II"" 8133615E"|E92OO03
7SI/00II7|J51|"BZ0 WC' VNLOE7 U1JH R/GF"" 6H1 T31UE"|E92OO03
7SI/00I0I|J51|"BZ0 WK' 8OE13Y6ER U1JH R/I0"" 6H1813361|E92OO03
7SI/00Z70|J51|"CF"" 9V DN8AEH  QJKK0/7V"|E92OO03
7SI/00ZAU|J51|"CF"" 9V DN8AEH  QJZZ0/7V"|E92OO03
ZU0/RUI00|J5E|"DO18A"4NHE3 H4ELOH FFFUU|0000300OZB
7SI/00HPR|J51|"FG"" 8133615E"|E92OO03
7SI/00ZZ0|J51|"FG"" 9V DN8AEH  QJKI0/7V"|E92OO03
7SI/00ZSR|J51|"FG"" 9V DN8AEH  QJKK0/7V"|E92OO03
7SI/00IRI|J51|"FG"" CK0 J6VE J96TH 8O1JJ 66 6H1 813361|E92OO03
7SI/00AUI|J51|"FG"" DO48A H6XEJ (I) FG"" 7 K"" 7 W-W/K|E92OO03
RIZ/000UA|J51|"FG"" H3EX89E3 R/ I"" 8916X & 8NL HEEH9"|JI28
770/AUPSU|J51|"FG"" R6VE J6VE H6OH 8133615E"|E92OO03
7SI/0U07S|J51|"FG"" T43AJ T43 T43A L4J6H64X6X5 8133615|E92OO03
7SI/00HZU|J51|"FG"" V6H896X5 DN8AEH W0.WZ 8N TH 81L186|E92OO03
7SI/00ZPR|J51|"FK"" 9V DN8AEH  QJKI0/7V"|E92OO03
7SI/00ZSI|J51|"FK"" 9V DN8AEH  QJKK0/7V"|E92OO03
7SI/00Z0U|J51|"FK"" 9V DN8AEH  QJWZ0/QPWF0"|E92OO03
RIZ/000SU|J51|"GF"" 1X5OE D344U JJO"|JI28
7SI/00HIZ|J51|"GF"" H44H9 D"|E92OO03
7SI/00IR7|J51|"GF"" O41V 5N13V 6H1 8133615EJ BZ0/BF0"|E92OO03
7SI/00RH7|J51|"GG"" D47 J831LE3"|E92OO03
7SI/00AZI|J51|"GK"" 8NHH6X5 EV5E"|E92OO03
RIZ/000PS|J51|"I"" 7 Z' 1N5E3  K"" 9E7"|JI28
7SI/00HZ7|J51|"I0"" 6H1 8133615E T43A L4J. R/ I0"" T43|E92OO03
7SI/00A0Z|J51|"I0"" 6H1 T43AJ T43 3HTO"|E92OO03
770/000P0|J51|"I0"" 7 F"" 7 K"" L1OOEH T43AJ (K) T43 K|E92OO03
7SI/0U07I|J51|"I0"" T43A L4J6H64X6X5 T4"|E92OO03
7SI/00RA7|J51|"I0"" V6H89 DN8AEH T43 R16X 342 84NLOE3"|E92OO03
7SI/00ZUA|J51|"I0"" V6H896X5 DN8AEH QJWI0"|E92OO03
7SI/00H0R|J51|"II"" D44U U4NXHEV T31UE3J J6VE H6OH MT6|E92OO03
7SI/000AU|J51|"II"" D44U U4NXHEV T31UE3J J6VE H6OH MT6|E92OO03
7SI/00SIZ|J51|"II"" D4OH 4X H4E LO1HE 84XH3N8H64X 1HH1|E92OO03
7SI/00H0A|J51|"II"" R6VE MT6H T31UE3J 8133615E R6H9 K|E92OO03
7SI/0U0UI|J51|"II"" TO41H6X5 J91TH 8133615E 4XO2"|E92OO03
7SI/00Z0P|J51|"II"" V6H896X5 DN8AEH QJKK0O3  QJWZ0 944|E92OO03
7SI/00SIS|J51|"IK"" O4R L34T6OE WI0/WS0 DN8AEH84XH3N8H|E92OO03
7SI/000HH|J51|"J6VE H6OH 8133615E R6H9 W.SC"" T43A J91|E92OO03
U70Z/UI0IB|J51|"JEH J83ER.S/WI""NX87W-W/F"""|0000303BBC
A0U/7RH00|J5A|"JR6H89, 3E13 R6XV4R"|000030OOU8
A0U/P0Z00|J5A|"JR6H89, 9E1V/J6VE O659HJ"|000030OOU8
7SI/000ZR|J51|"K.0 8N 213V BI"" R6VE 5L DN8A"|E92OO03
770/AUHAR|J51|"K.KC 8N. 2V BI"" R6VE O659H U1HE361O DN|E92OO03
RIZ/000HA|J51|"KF"" 1N5E3 E7HEXJ64X"|JI28
